filename;Time / s;Input_power;Output_power;Losses;Efficency;Caps_losses;FL1_losses;HF1_losses;FL2_losses;HF2_losses;Bulkcap_losses;Inductor;EMI;GaN_total;GaN_switching;GaN_ohmic_total;GaN_ohmich_ON;GaN_Forward_conduction;GaN_Reverse_ON_conduction;GaN_Reverse_OFF_conduction;Si_total;Si_conduction;Si_switching;iTHD_percentage
2400;1,000000e+00;2,407564e+03;2,400255e+03;2,128576e+01;9,911588e+01;2,772833e+00;2,816148e-01;1,251467e-02;2,781942e-01;1,075538e-02;2,189754e+00;2,677167e+00;3,925850e-01;1,421399e+01;1,266708e+01;1,546911e+00;1,335103e+00;4,186557e-01;9,164477e-01;2,118079e-01;1,229179e+00;1,213009e+00;1,617046e-02;6,717622e+00
2450;1,000000e+00;2,457777e+03;2,450271e+03;2,168421e+01;9,911773e+01;2,854343e+00;2,930547e-01;1,289564e-02;2,896135e-01;1,119266e-02;2,247586e+00;2,715722e+00;4,038114e-01;1,442975e+01;1,282230e+01;1,607441e+00;1,390755e+00;4,360179e-01;9,547373e-01;2,166859e-01;1,280590e+00;1,264113e+00;1,647718e-02;6,567536e+00
2500;1,000000e+00;2,507995e+03;2,500288e+03;2,208613e+01;9,911937e+01;2,937183e+00;3,047092e-01;1,314958e-02;3,012921e-01;1,180208e-02;2,306229e+00;2,755711e+00;4,152540e-01;1,464568e+01;1,297655e+01;1,669132e+00;1,447546e+00;4,537425e-01;9,938034e-01;2,215862e-01;1,332297e+00;1,316325e+00;1,597213e-02;6,419679e+00
2550;1,000000e+00;2,558218e+03;2,550305e+03;2,249591e+01;9,912064e+01;3,022294e+00;3,166172e-01;1,356864e-02;3,131991e-01;1,234967e-02;2,366560e+00;2,798004e+00;4,271098e-01;1,486348e+01;1,313144e+01;1,732037e+00;1,505525e+00;4,718444e-01;1,033680e+00;2,265122e-01;1,385022e+00;1,369847e+00;1,517516e-02;6,292590e+00
2600;1,000000e+00;2,608445e+03;2,600323e+03;2,290830e+01;9,912176e+01;3,107774e+00;3,287280e-01;1,361100e-02;3,253613e-01;1,293333e-02;2,427141e+00;2,839294e+00;4,390318e-01;1,508221e+01;1,328608e+01;1,796126e+00;1,564680e+00;4,903123e-01;1,074368e+00;2,314456e-01;1,439993e+00;1,424338e+00;1,565512e-02;6,126815e+00
2650;1,000000e+00;2,658677e+03;2,650342e+03;2,332551e+01;9,912266e+01;3,194723e+00;3,410625e-01;1,361345e-02;3,377602e-01;1,349029e-02;2,488796e+00;2,881536e+00;4,519776e-01;1,530171e+01;1,344031e+01;1,861401e+00;1,624999e+00;5,091513e-01;1,115848e+00;2,364011e-01;1,495564e+00;1,479959e+00;1,560508e-02;6,095083e+00
2700;1,000000e+00;2,708914e+03;2,700362e+03;2,375202e+01;9,912319e+01;3,284405e+00;3,536577e-01;1,383633e-02;3,504213e-01;1,412018e-02;2,552369e+00;2,924839e+00;4,652301e-01;1,552407e+01;1,359621e+01;1,927857e+00;1,686480e+00;5,283501e-01;1,158130e+00;2,413770e-01;1,553478e+00;1,536702e+00;1,677562e-02;6,057180e+00
2750;1,000000e+00;2,759156e+03;2,750382e+03;2,417978e+01;9,912365e+01;3,375267e+00;3,664824e-01;1,396633e-02;3,632794e-01;1,457273e-02;2,616966e+00;2,969194e+00;4,783324e-01;1,574552e+01;1,375000e+01;1,995519e+00;1,749147e+00;5,479437e-01;1,201203e+00;2,463724e-01;1,611470e+00;1,594594e+00;1,687577e-02;5,961329e+00
2800;1,000000e+00;2,809402e+03;2,800404e+03;2,461337e+01;9,912389e+01;3,467712e+00;3,795288e-01;1,404393e-02;3,763998e-01;1,525495e-02;2,682485e+00;3,014621e+00;4,915080e-01;1,596890e+01;1,390453e+01;2,064375e+00;1,812986e+00;5,679170e-01;1,245069e+00;2,513894e-01;1,670628e+00;1,653634e+00;1,699350e-02;5,842949e+00
2850;1,000000e+00;2,859653e+03;2,850426e+03;2,505376e+01;9,912389e+01;3,563469e+00;3,928930e-01;1,487520e-02;3,897673e-01;1,616424e-02;2,749769e+00;3,062016e+00;5,049740e-01;1,619282e+01;1,405842e+01;2,134400e+00;1,877973e+00;5,882485e-01;1,289724e+00;2,564266e-01;1,730479e+00;1,713801e+00;1,667794e-02;5,749373e+00
2900;1,000000e+00;2,909909e+03;2,900448e+03;2,549833e+01;9,912374e+01;3,659155e+00;4,064342e-01;1,519635e-02;4,032389e-01;1,596261e-02;2,818323e+00;3,110447e+00;5,184843e-01;1,641843e+01;1,421281e+01;2,205617e+00;1,944126e+00;6,089498e-01;1,335176e+00;2,614908e-01;1,791810e+00;1,775121e+00;1,668904e-02;5,636149e+00
2950;1,000000e+00;2,960170e+03;2,950472e+03;2,595126e+01;9,912332e+01;3,759844e+00;4,202707e-01;1,616231e-02;4,171017e-01;1,703152e-02;2,889277e+00;3,159057e+00;5,322342e-01;1,664582e+01;1,436781e+01;2,278016e+00;2,011454e+00;6,300319e-01;1,381422e+00;2,665620e-01;1,854307e+00;1,837604e+00;1,670254e-02;5,512204e+00
3000;1,000000e+00;3,010435e+03;3,000496e+03;2,641413e+01;9,912258e+01;3,866432e+00;4,345563e-01;1,855491e-02;4,310595e-01;1,703989e-02;2,965221e+00;3,208741e+00;5,461132e-01;1,687530e+01;1,452369e+01;2,351612e+00;2,079951e+00;6,514808e-01;1,428471e+00;2,716605e-01;1,917536e+00;1,901243e+00;1,629297e-02;5,363980e+00
3050;1,000000e+00;3,060705e+03;3,050521e+03;2,688153e+01;9,912172e+01;3,974743e+00;4,489976e-01;2,059745e-02;4,453677e-01;1,810652e-02;3,041673e+00;3,259581e+00;5,607290e-01;1,710383e+01;1,467746e+01;2,426371e+00;2,149591e+00;6,732978e-01;1,476293e+00;2,767796e-01;1,982653e+00;1,966360e+00;1,629298e-02;5,330126e+00
3100;1,000000e+00;3,110981e+03;3,100547e+03;2,734299e+01;9,912108e+01;4,074792e+00;4,633976e-01;2,009439e-02;4,598817e-01;1,896701e-02;3,112451e+00;3,310592e+00;5,754843e-01;1,733347e+01;1,483111e+01;2,502356e+00;2,220437e+00;6,954965e-01;1,524941e+00;2,819186e-01;2,048655e+00;2,032363e+00;1,629260e-02;5,266773e+00
3150;1,000000e+00;3,161260e+03;3,150574e+03;2,781227e+01;9,912022e+01;4,178668e+00;4,780925e-01;2,014451e-02;4,746386e-01;1,976108e-02;3,186031e+00;3,362772e+00;5,904300e-01;1,756457e+01;1,498504e+01;2,579528e+00;2,292451e+00;7,180695e-01;1,574382e+00;2,870771e-01;2,115832e+00;2,099541e+00;1,629173e-02;5,184228e+00
3200;1,000000e+00;3,211545e+03;3,200601e+03;2,829245e+01;9,911904e+01;4,286906e+00;4,931035e-01;2,091927e-02;4,895979e-01;2,026351e-02;3,263022e+00;3,416044e+00;6,056557e-01;1,779912e+01;1,514121e+01;2,657908e+00;2,365653e+00;7,410288e-01;1,624625e+00;2,922547e-01;2,184726e+00;2,167910e+00;1,681634e-02;5,106941e+00
3250;1,000000e+00;3,261835e+03;3,250630e+03;2,877310e+01;9,911789e+01;4,394469e+00;5,082891e-01;2,107615e-02;5,046939e-01;1,974700e-02;3,340662e+00;3,469968e+00;6,210996e-01;1,803331e+01;1,529585e+01;2,737461e+00;2,440010e+00;7,643380e-01;1,675672e+00;2,974503e-01;2,254252e+00;2,237437e+00;1,681564e-02;5,023249e+00
3300;1,000000e+00;3,312130e+03;3,300659e+03;2,925948e+01;9,911660e+01;4,504931e+00;5,237631e-01;2,173006e-02;5,201190e-01;2,021380e-02;3,419105e+00;3,525064e+00;6,368759e-01;1,826763e+01;1,544942e+01;2,818209e+00;2,515545e+00;7,880414e-01;1,727504e+00;3,026639e-01;2,324980e+00;2,308165e+00;1,681554e-02;4,953037e+00
3350;1,000000e+00;3,362429e+03;3,350690e+03;2,975050e+01;9,911521e+01;4,617077e+00;5,394563e-01;2,233284e-02;5,357488e-01;2,042343e-02;3,499116e+00;3,581105e+00;6,527464e-01;1,850270e+01;1,560259e+01;2,900113e+00;2,592217e+00;8,120861e-01;1,780131e+00;3,078962e-01;2,396871e+00;2,380056e+00;1,681550e-02;4,873996e+00
3400;1,000000e+00;3,412734e+03;3,400721e+03;3,024749e+01;9,911369e+01;4,731187e+00;5,554032e-01;2,279492e-02;5,517558e-01;2,176969e-02;3,579464e+00;3,638514e+00;6,690929e-01;1,873870e+01;1,575544e+01;2,983250e+00;2,670103e+00;8,365282e-01;1,833575e+00;3,131473e-01;2,470004e+00;2,453189e+00;1,681499e-02;4,803741e+00
3450;1,000000e+00;3,463043e+03;3,450753e+03;3,074837e+01;9,911210e+01;4,844748e+00;5,715452e-01;2,269949e-02;5,679490e-01;2,262938e-02;3,659924e+00;3,698184e+00;6,856516e-01;1,897542e+01;1,590782e+01;3,067608e+00;2,749185e+00;8,613605e-01;1,887824e+00;3,184233e-01;2,544362e+00;2,527546e+00;1,681593e-02;4,733874e+00
