filename;Time / s;GaNFET1_Junction;GaNFET2_Junction;GaNFET3_Junction;GaNFET4_Junction;GaNFET5_Junction;GaNFET6_Junction;GaNFET_Package_temp;MOSFET7_Junction;MOSFET8_Junction;MOSFET7_Package_temp;MOSFET8_Package_temp
3250;1,000000e+00;6,794413e+01;6,793885e+01;6,795604e+01;6,793454e+01;6,791021e+01;6,791814e+01;5,822834e+01;4,796064e+01;4,819839e+01;3,937476e+01;3,952390e+01
3300;1,000000e+00;6,796355e+01;6,795869e+01;6,797576e+01;6,795409e+01;6,793034e+01;6,793771e+01;5,824358e+01;4,807214e+01;4,831003e+01;3,944297e+01;3,959219e+01
3350;1,000000e+00;6,798254e+01;6,797875e+01;6,799584e+01;6,797419e+01;6,795007e+01;6,795714e+01;5,825884e+01;4,818532e+01;4,842345e+01;3,951220e+01;3,966156e+01
3400;1,000000e+00;6,800189e+01;6,799796e+01;6,801581e+01;6,799426e+01;6,797000e+01;6,797604e+01;5,827398e+01;4,830036e+01;4,853850e+01;3,958255e+01;3,973193e+01
3450;1,000000e+00;6,802173e+01;6,801777e+01;6,803659e+01;6,801397e+01;6,798995e+01;6,799577e+01;5,828943e+01;4,841719e+01;4,865552e+01;3,965401e+01;3,980350e+01
3500;1,000000e+00;6,804138e+01;6,803740e+01;6,805706e+01;6,803430e+01;6,800998e+01;6,801562e+01;5,830489e+01;4,853585e+01;4,877421e+01;3,972658e+01;3,987609e+01
3550;1,000000e+00;6,806123e+01;6,805784e+01;6,807760e+01;6,805468e+01;6,802995e+01;6,803559e+01;5,832051e+01;4,866493e+01;4,890345e+01;3,980567e+01;3,995527e+01
3600;1,000000e+00;6,808139e+01;6,807805e+01;6,809883e+01;6,807529e+01;6,805016e+01;6,805552e+01;5,833629e+01;4,878724e+01;4,902582e+01;3,988047e+01;4,003011e+01
3650;1,000000e+00;6,810099e+01;6,809719e+01;6,811900e+01;6,809571e+01;6,807020e+01;6,807514e+01;5,835162e+01;4,891123e+01;4,914998e+01;3,995630e+01;4,010604e+01
3700;1,000000e+00;6,812111e+01;6,811762e+01;6,814036e+01;6,811616e+01;6,809039e+01;6,809538e+01;5,836745e+01;4,903709e+01;4,927589e+01;4,003326e+01;4,018303e+01
