vds;ids;eon;eoff;vdsreal;idsreal;rdson;;
-478,63;50,1187;0,00000697559;0,000407019;0,819941;50,0329;0,016388;;
-478,63;63,0957;0,0000105491;0,000540039;0,875556;62,9803;0,0139021;;
-478,63;79,4328;0,0000164285;0,000726897;0,941799;79,2765;0,0118799;;
-478,63;100;0,0000262013;0,000990454;1,02108;99,7867;0,0102326;;
-478,63;125,893;0,0000415735;0,0013939;1,117;125,599;0,00889341;;
-478,63;158,489;0,0000668509;0,00187616;1,23383;158,081;0,00780509;;
-478,63;199,526;0,000117067;0,00266088;1,37696;198,952;0,00692108;;
-478,63;251,189;0,000181276;0,0037894;1,55316;250,374;0,00620337;;
-478,63;316,228;0,000264953;0,00540288;1,77092;315,058;0,00562092;;
-478,63;398,107;0,000432114;0,0077736;2,0409;396,41;0,00514846;;
-478,63;500;0,000640639;0,0114039;2,37264;497,521;0,00476891;;
-436,516;0,1;0,0000000220219;0,000000249702;0,249595;0,0999428;2,49738;;
-436,516;0,125893;0,0000000474657;0,000000324506;0,264758;0,125816;2,10433;;
-436,516;0,158489;0,00000000125047;0,000000430837;0,28001;0,158388;1,76788;;
-436,516;0,199526;0,0000000239819;0,000000579566;0,295307;0,199391;1,48104;;
-436,516;0,251189;5,58172E-10;0,000000775462;0,310736;0,25101;1,23794;;
-436,516;0,316228;0,0000000809817;0,00000102329;0,326178;0,315991;1,03224;;
-436,516;0,398107;0,00000000668186;0,0000013555;0,341732;0,397796;0,859064;;
-436,516;0,501187;0,00000000980915;0,00000178784;0,357372;0,500777;0,713634;;
-436,516;0,630957;0,00000000611679;0,00000234379;0,373034;0,630418;0,591725;;
-436,516;0,794328;0,00000000457471;0,00000309689;0,388834;0,793621;0,48995;;
-436,516;1;0,0000000334531;0,00000401523;0,405334;0,999071;0,405711;;
-436,516;1,25893;0,0000000106139;0,00000526227;0,420965;1,25771;0,334707;;
-436,516;1,58489;0,0000000189806;0,00000694765;0,437508;1,5833;0,276326;;
-436,516;1,99526;0,0000000276881;0,00000901249;0,453579;1,99319;0,227565;;
-436,516;2,51189;0,0000000321621;0,0000119862;0,470929;2,50918;0,187683;;
-436,516;3,16228;0,000000109107;0,0000155563;0,489325;3,15873;0,154912;;
-436,516;3,98107;0,0000000912986;0,0000201439;0,437691;3,97708;0,110053;;
-436,516;5,01187;0,000000117505;0,0000262001;0,332988;5,00805;0,0664907;;
-436,516;6,30957;0,000000175894;0,0000340554;0,623028;6,30057;0,0988843;;
-436,516;7,94328;0,000000257296;0,000044529;0,549544;7,93328;0,0692706;;
-436,516;10;0,000000400355;0,000058508;0,59042;9,98647;0,0591219;;
