filename;Time / s;GaNFET 1;GaNFET 2;GaNFET 3;GaNFET 4;GaNFET 5;GaNFET 6;MOSFET 7;MOSFET 8
3900;1,300000e+00;7,489070e+01;7,487942e+01;7,490236e+01;7,490274e+01;7,488100e+01;7,489186e+01;6,324631e+01;6,411409e+01
3950;1,300000e+00;7,561653e+01;7,560534e+01;7,562839e+01;7,562881e+01;7,560690e+01;7,561766e+01;6,378520e+01;6,465341e+01
4000;1,300000e+00;7,634589e+01;7,633479e+01;7,635795e+01;7,635834e+01;7,633636e+01;7,634703e+01;6,432548e+01;6,519367e+01
4050;1,300000e+00;7,707876e+01;7,706777e+01;7,709105e+01;7,709144e+01;7,706936e+01;7,707991e+01;6,486729e+01;6,573483e+01
4100;1,300000e+00;7,781501e+01;7,780421e+01;7,782755e+01;7,782792e+01;7,780575e+01;7,781613e+01;6,541082e+01;6,627684e+01
4150;1,300000e+00;7,855503e+01;7,854442e+01;7,856784e+01;7,856820e+01;7,854597e+01;7,855614e+01;6,595593e+01;6,681985e+01
4200;1,300000e+00;7,929871e+01;7,928831e+01;7,931179e+01;7,931212e+01;7,928984e+01;7,929979e+01;6,650223e+01;6,736380e+01
4250;1,300000e+00;8,004571e+01;8,003554e+01;8,005904e+01;8,005938e+01;8,003706e+01;8,004678e+01;6,704905e+01;6,790856e+01
4300;1,300000e+00;8,079596e+01;8,078602e+01;8,080959e+01;8,080989e+01;8,078751e+01;8,079701e+01;6,759503e+01;6,845364e+01
4350;1,300000e+00;8,154995e+01;8,154022e+01;8,156384e+01;8,156420e+01;8,154182e+01;8,155105e+01;6,814004e+01;6,899210e+01
4400;1,300000e+00;8,230740e+01;8,229794e+01;8,232152e+01;8,232198e+01;8,229955e+01;8,230854e+01;6,868494e+01;6,953109e+01
4450;1,300000e+00;8,306860e+01;8,305941e+01;8,308299e+01;8,308344e+01;8,306102e+01;8,306974e+01;6,922972e+01;7,007078e+01
4500;1,300000e+00;8,383341e+01;8,382450e+01;8,384812e+01;8,384854e+01;8,382614e+01;8,383458e+01;6,977445e+01;7,061091e+01
