V1	Ix(U1:2)
Step Information: Temp=-40  (Step: 1/5)
6.090000000000001e+01	1.218137e-06
6.100000000000000e+01	1.220137e-06
6.110000000000000e+01	1.222137e-06
6.120000000000000e+01	1.224138e-06
6.130000000000000e+01	1.226138e-06
6.140000000000001e+01	1.228138e-06
6.150000000000000e+01	1.230138e-06
6.160000000000000e+01	1.232138e-06
6.170000000000000e+01	1.234138e-06
6.180000000000000e+01	1.236138e-06
6.190000000000001e+01	1.238138e-06
6.200000000000000e+01	1.240138e-06
6.210000000000000e+01	1.242139e-06
6.220000000000000e+01	1.244139e-06
6.230000000000000e+01	1.246139e-06
6.240000000000001e+01	1.248139e-06
6.250000000000000e+01	1.250139e-06
6.260000000000000e+01	1.252139e-06
6.270000000000000e+01	1.254139e-06
6.280000000000000e+01	1.256139e-06
6.290000000000001e+01	1.258139e-06
6.300000000000000e+01	1.260139e-06
6.310000000000000e+01	1.262140e-06
6.320000000000000e+01	1.264140e-06
6.330000000000000e+01	1.266140e-06
6.340000000000001e+01	1.268140e-06
6.350000000000000e+01	1.270140e-06
6.360000000000000e+01	1.272140e-06
6.370000000000000e+01	1.274140e-06
6.380000000000000e+01	1.276140e-06
6.390000000000001e+01	1.278140e-06
6.400000000000000e+01	1.280140e-06
6.410000000000001e+01	1.282140e-06
6.420000000000000e+01	1.284141e-06
6.430000000000000e+01	1.286141e-06
6.440000000000001e+01	1.288141e-06
6.450000000000000e+01	1.290141e-06
6.460000000000001e+01	1.292141e-06
6.470000000000000e+01	1.294141e-06
6.480000000000000e+01	1.296141e-06
6.490000000000001e+01	1.298141e-06
6.500000000000000e+01	1.300141e-06
6.510000000000001e+01	1.302142e-06
6.520000000000000e+01	1.304142e-06
6.530000000000000e+01	1.306142e-06
6.540000000000001e+01	1.308142e-06
6.550000000000000e+01	1.310142e-06
6.560000000000001e+01	1.312142e-06
6.570000000000000e+01	1.314142e-06
6.580000000000000e+01	1.316142e-06
6.590000000000001e+01	1.318142e-06
6.600000000000000e+01	1.320142e-06
6.610000000000001e+01	1.322143e-06
6.620000000000000e+01	1.324143e-06
6.630000000000000e+01	1.326143e-06
6.640000000000001e+01	1.328143e-06
6.650000000000000e+01	1.330143e-06
6.660000000000001e+01	1.332143e-06
6.670000000000000e+01	1.334143e-06
6.680000000000000e+01	1.336143e-06
6.690000000000001e+01	1.338143e-06
6.700000000000000e+01	1.340143e-06
6.710000000000001e+01	1.342143e-06
6.720000000000000e+01	1.344144e-06
6.730000000000000e+01	1.346144e-06
6.740000000000001e+01	1.348144e-06
6.750000000000000e+01	1.350144e-06
6.760000000000001e+01	1.352144e-06
6.770000000000000e+01	1.354144e-06
6.780000000000000e+01	1.356144e-06
6.790000000000001e+01	1.358144e-06
6.800000000000000e+01	1.360144e-06
6.810000000000001e+01	1.362145e-06
6.820000000000000e+01	1.364145e-06
6.830000000000000e+01	1.366145e-06
6.840000000000001e+01	1.368145e-06
6.850000000000000e+01	1.370145e-06
6.860000000000001e+01	1.372145e-06
6.870000000000000e+01	1.374145e-06
6.880000000000000e+01	1.376145e-06
6.890000000000001e+01	1.378145e-06
6.900000000000000e+01	1.380145e-06
6.910000000000001e+01	1.382146e-06
6.920000000000000e+01	1.384146e-06
6.930000000000000e+01	1.386146e-06
6.940000000000001e+01	1.388146e-06
6.950000000000000e+01	1.390146e-06
6.960000000000001e+01	1.392146e-06
6.970000000000000e+01	1.394146e-06
6.980000000000000e+01	1.396146e-06
6.990000000000001e+01	1.398146e-06
7.000000000000000e+01	1.400146e-06
7.010000000000001e+01	1.402146e-06
7.020000000000000e+01	1.404147e-06
7.030000000000000e+01	1.406147e-06
7.040000000000001e+01	1.408147e-06
