V1	Ix(U1:1)
Step Information: Temp=-40  (Step: 1/5)
6.110000000000000e-01	1.546530e-01
6.120000000000000e-01	1.555323e-01
6.130000000000000e-01	1.564122e-01
6.140000000000000e-01	1.572926e-01
6.150000000000000e-01	1.581737e-01
6.160000000000000e-01	1.590553e-01
6.170000000000000e-01	1.599375e-01
6.180000000000000e-01	1.608203e-01
6.190000000000000e-01	1.617036e-01
6.200000000000000e-01	1.625875e-01
6.210000000000000e-01	1.634720e-01
6.220000000000000e-01	1.643570e-01
6.230000000000000e-01	1.652426e-01
6.240000000000000e-01	1.661287e-01
6.250000000000000e-01	1.670153e-01
6.260000000000000e-01	1.679025e-01
6.270000000000000e-01	1.687902e-01
6.280000000000000e-01	1.696784e-01
6.290000000000000e-01	1.705671e-01
6.300000000000000e-01	1.714564e-01
6.310000000000000e-01	1.723462e-01
6.320000000000000e-01	1.732364e-01
6.330000000000000e-01	1.741272e-01
6.340000000000000e-01	1.750185e-01
6.350000000000000e-01	1.759102e-01
6.360000000000000e-01	1.768025e-01
6.370000000000000e-01	1.776952e-01
6.380000000000000e-01	1.785884e-01
6.390000000000000e-01	1.794821e-01
6.400000000000000e-01	1.803763e-01
6.410000000000000e-01	1.812709e-01
6.420000000000000e-01	1.821660e-01
6.430000000000000e-01	1.830616e-01
6.440000000000000e-01	1.839576e-01
6.450000000000000e-01	1.848541e-01
6.460000000000000e-01	1.857510e-01
6.470000000000000e-01	1.866484e-01
6.480000000000000e-01	1.875461e-01
6.490000000000000e-01	1.884444e-01
6.500000000000000e-01	1.893431e-01
6.510000000000000e-01	1.902422e-01
6.520000000000000e-01	1.911417e-01
6.530000000000000e-01	1.920417e-01
6.540000000000000e-01	1.929421e-01
6.550000000000000e-01	1.938429e-01
6.560000000000000e-01	1.947441e-01
6.570000000000000e-01	1.956457e-01
6.580000000000000e-01	1.965477e-01
6.590000000000000e-01	1.974502e-01
6.600000000000000e-01	1.983530e-01
6.610000000000000e-01	1.992563e-01
6.620000000000000e-01	2.001599e-01
6.630000000000000e-01	2.010639e-01
6.640000000000000e-01	2.019684e-01
6.650000000000000e-01	2.028732e-01
6.660000000000000e-01	2.037784e-01
6.670000000000000e-01	2.046839e-01
6.680000000000000e-01	2.055899e-01
6.690000000000000e-01	2.064962e-01
6.700000000000000e-01	2.074029e-01
6.710000000000000e-01	2.083099e-01
6.720000000000000e-01	2.092174e-01
6.730000000000000e-01	2.101252e-01
6.740000000000000e-01	2.110333e-01
6.750000000000000e-01	2.119418e-01
6.760000000000000e-01	2.128507e-01
6.770000000000000e-01	2.137599e-01
6.780000000000000e-01	2.146695e-01
6.790000000000000e-01	2.155794e-01
6.800000000000000e-01	2.164897e-01
6.810000000000000e-01	2.174003e-01
6.820000000000001e-01	2.183112e-01
6.830000000000001e-01	2.192225e-01
6.840000000000001e-01	2.201342e-01
6.850000000000001e-01	2.210461e-01
6.860000000000001e-01	2.219584e-01
6.870000000000001e-01	2.228710e-01
6.880000000000001e-01	2.237839e-01
6.890000000000001e-01	2.246972e-01
6.900000000000001e-01	2.256108e-01
6.910000000000001e-01	2.265247e-01
6.920000000000001e-01	2.274389e-01
6.930000000000001e-01	2.283535e-01
6.940000000000001e-01	2.292683e-01
6.950000000000001e-01	2.301835e-01
6.960000000000001e-01	2.310989e-01
6.970000000000001e-01	2.320147e-01
6.980000000000001e-01	2.329308e-01
6.990000000000001e-01	2.338472e-01
7.000000000000001e-01	2.347638e-01
7.010000000000001e-01	2.356808e-01
7.020000000000001e-01	2.365981e-01
7.030000000000001e-01	2.375157e-01
7.040000000000000e-01	2.384335e-01
7.050000000000000e-01	2.393517e-01
7.060000000000000e-01	2.402701e-01
7.070000000000000e-01	2.411888e-01
7.080000000000000e-01	2.421078e-01
7.090000000000000e-01	2.430271e-01
7.100000000000000e-01	2.439467e-01
7.110000000000000e-01	2.448665e-01
7.120000000000000e-01	2.457867e-01
7.130000000000000e-01	2.467071e-01
7.140000000000000e-01	2.476277e-01
7.150000000000000e-01	2.485487e-01
7.160000000000000e-01	2.494699e-01
7.170000000000000e-01	2.503914e-01
7.180000000000000e-01	2.513131e-01
7.190000000000000e-01	2.522351e-01
7.200000000000000e-01	2.531574e-01
7.210000000000000e-01	2.540799e-01
7.220000000000000e-01	2.550027e-01
7.230000000000000e-01	2.559258e-01
7.240000000000000e-01	2.568491e-01
7.250000000000000e-01	2.577727e-01
7.260000000000000e-01	2.586965e-01
7.270000000000000e-01	2.596205e-01
7.280000000000000e-01	2.605448e-01
7.290000000000000e-01	2.614694e-01
7.300000000000000e-01	2.623942e-01
7.310000000000000e-01	2.633193e-01
