eon;eoff;vds;ids;rds_on
6.50042759004e-06;1.63476833415e-06;50.9997575672;2.50991797842;0.0159229698289
8.19764678552e-06;1.83702054595e-06;50.9998092651;3.15915846825;0.0159235796948
1.0739980161e-05;2.17830278127e-06;50.9998474121;3.97612905502;0.0159246577072
1.39504791701e-05;2.62308378323e-06;50.9998779297;5.00404071808;0.0159259692007
1.81534343615e-05;3.22597185622e-06;50.9999046326;6.29716491699;0.0159276917798
2.3344943743e-05;4.05452617085e-06;50.9999237061;7.92362308502;0.0159298653469
3.03877119734e-05;5.05385731104e-06;50.9999389648;9.96885681152;0.0159326023942
3.96509552799e-05;6.35475160467e-06;50.9999504089;12.5399246216;0.0159360878547
5.14692256043e-05;7.89711865483e-06;50.999961853;15.770807571;0.0159405043898
6.83525209173e-05;1.03444680177e-05;50.9999694824;19.828918457;0.0159461008949
9.24668800507e-05;1.36285384307e-05;50.9999771118;24.923034668;0.0159532647773
0.000123718062419;1.77703279007e-05;50.9999809265;31.3128547668;0.0159624231632
0.000166682770465;2.27879075583e-05;50.9999847412;39.3204116821;0.0159741961778
0.000231357838745;3.0637147105e-05;50.9999885559;49.3433837891;0.0159894306033
0.000322358740304;4.16085543705e-05;50.9999904468;61.8703155518;0.0160093020759
0.000447248347876;5.53120497943e-05;50.9999923706;77.4972991943;0.0160355142681
0.00063128986276;7.54765689365e-05;50.9999923706;96.9451522827;0.0160706386486
0.000893870241838;0.000101512170206;50.9999961853;121.07510376;0.0161187590591
0.00127424234534;0.000140552720871;50.9999961853;150.898635864;0.0161869793169
0.00182273718276;0.000194076956349;50.9999961853;187.572570801;0.0162892784173
0.00258990794427;0.0002675234381;50.9999961853;232.351715088;0.0164601750926
0.00376593733864;0.000379144498608;50.9999982677;286.315917969;0.0168487512657
0.00567997775102;0.000558102341468;51.0;344.979980469;0.0197284605602
0.00837716639204;0.000809588056074;51.0;408.81262207;0.0227515312065
3.95562302034e-07;1.77984109394e-07;75.9890899658;0.0999979230897;0.0158041320838
5.01266537387e-07;3.58396019862e-07;75.9913330078;0.125889356309;0.0152948086558
6.34030846003e-07;7.16912278447e-07;75.9931182861;0.158484238781;0.0153625858303
8.07368530309e-07;1.320344032e-06;75.9945297241;0.199517877371;0.0159456782559
1.00045783354e-06;2.27478136295e-06;75.9956588745;0.251175798538;0.0154651057483
1.2831207748e-06;2.23776832792e-06;75.9965515137;0.316207076903;0.0157315302448
1.6041689691e-06;2.26755951602e-06;75.9972610474;0.398074518929;0.0156579428546
2.0591831749e-06;2.31396602029e-06;75.9978256226;0.501134377946;0.0159883330023
2.56968114191e-06;2.33531317695e-06;75.9982754095;0.630873615572;0.0159838651429
3.24349595179e-06;2.34553980435e-06;75.998626709;0.794196069241;0.0159204299362
4.20987277609e-06;2.36733634499e-06;75.9989089966;0.999790559726;0.0159199066002
5.25417208316e-06;2.37557101443e-06;75.9991331076;1.25859325141;0.0159301583127
6.70429592101e-06;2.39589232539e-06;75.9993190712;1.58436705802;0.015924702134
8.49629140666e-06;2.49889076414e-06;75.9994504624;1.99442870451;0.0159208004584
1.08435216316e-05;2.7344533613e-06;75.9995591867;2.5105650638;0.0159235968273
1.38263031451e-05;3.11201933877e-06;75.9996558065;3.16018439407;0.0159186732564
1.77014835782e-05;3.64482870084e-06;75.9997253418;3.97775363922;0.0159245818719
2.2539511787e-05;4.3800650967e-06;75.9997807824;5.00661420822;0.0159259769745
2.88145693323e-05;5.32145922103e-06;75.9998245239;6.30124092102;0.015927661178
3.68127947683e-05;6.53869175365e-06;75.9998626709;7.93007915351;0.0159298817467
4.73914943624e-05;8.16294254068e-06;75.9998931885;9.9790802002;0.0159326237297
6.22640680709e-05;1.04414458227e-05;75.9999160767;12.5561084747;0.0159361039268
8.1003786133e-05;1.32429553446e-05;75.9999313354;15.796421051;0.0159405329455
0.000105993290807;1.68215764232e-05;75.9999465942;19.8694419861;0.0159461636301
0.000139077267843;2.14634677676e-05;75.9999542236;24.9871139526;0.0159533432116
0.000184797721098;2.7792789829e-05;75.999961853;31.4141292572;0.0159625691424
0.000246062852227;3.60364501172e-05;75.9999694824;39.4803543091;0.0159744353833
