eon;eoff;vds;ids
0.00410547638146;0.000602986116175;325.99987793;100.499412537
0.0053444837226;0.000759516126435;325.999908447;125.219459534
0.00667138533791;0.000923754680975;325.999908447;149.876449585
0.00807038776936;0.00108556551445;325.999938965;174.469390869
0.0095508117869;0.0012531549248;325.999938965;198.996780396
0.0111035926363;0.00142536390364;325.999938965;223.456298828
0.0127332847035;0.00159346032397;325.999938965;247.843811035
0.0144365686347;0.00177241776179;325.999938965;272.150695801
0.0162254802562;0.0019519000947;325.999969482;296.349060059
0.0181863323013;0.00215127306918;325.999969482;320.163909912
0.0203082792349;0.00236133643901;325.999969482;343.724975586
0.0225076796956;0.00257858920509;325.999969482;367.150756836
0.0247817035944;0.00279042874898;325.999969482;390.442443848
0.027164826684;0.00299908720587;325.999969482;413.601135254
0.0296255162649;0.00324897946369;325.999969482;436.627960205
0.032169792241;0.00347933435163;325.999969482;459.524017334
0.0347979227617;0.00372510023991;325.999969482;482.290374756
3.40152792452e-05;2.04380302408e-05;350.985321045;0.999954659841
0.000986944209269;0.000166113477012;350.999420166;25.9693088531
0.0020634987548;0.000327532494091;350.999725342;50.8817710876
0.00324001268666;0.000493728125993;350.999816895;75.7370834351
0.00449908222134;0.000661203525371;350.999847412;100.534896851
0.00586316111232;0.000836790014661;350.99987793;125.274726868
0.00729865387768;0.00101440641949;350.999908447;149.955917358
0.00882077880015;0.00119249097854;350.999908447;174.57749939
0.0104072624592;0.00137189990658;350.999938965;199.138092041
0.0121015755605;0.00155786403371;350.999938965;223.635467529
0.0138670254414;0.00174808070499;350.999938965;248.065765381
0.0157069249688;0.00193645177501;350.999938965;272.420837402
0.0176414071595;0.00212865559228;350.999938965;296.674041748
0.019740809654;0.00234889844787;350.999969482;320.565032959
0.0220015781563;0.00256931377486;350.999969482;344.223632812
0.0243598244311;0.00279421231469;350.999969482;367.755706787
0.0268075535768;0.00303026928312;350.999969482;391.162261963
0.0293136536909;0.00326240516622;350.999969482;414.444244385
0.0319708193682;0.0035031469143;350.999969482;437.602630615
0.0347007722527;0.00375654600545;350.999969482;460.638427734
0.0374903900215;0.00400129048029;350.999969482;483.552490234
3.75642503009e-05;2.26227851055e-05;375.983312433;0.999957644137
0.00108390515231;0.000182725937507;375.999359131;25.9713478088
0.00226107801429;0.000359632531441;375.999664307;50.8896141052
0.00354763018411;0.000542373495368;375.999786377;75.7545089722
0.00492365315273;0.000727353471938;375.999847412;100.565689087
0.00638730513477;0.00091271712911;375.99987793;125.322685242
0.00794606039377;0.00110637772584;375.99987793;150.024871826
0.00959233551078;0.00130008087533;375.999908447;174.671340942
0.0113212744766;0.00149676056373;375.999908447;199.260772705
0.0131382099578;0.0016951374242;375.999938965;223.791061401
0.0150300922922;0.00189643486684;375.999938965;248.258544922
0.0170138717007;0.00210385410817;375.999938965;272.655548096
0.0190901482557;0.00231747071428;375.999938965;296.956542969
0.0213491463809;0.00254199541592;375.999938965;320.914550781
0.0237567417712;0.00278485031474;375.999938965;344.658325195
0.0262611207981;0.00301990214243;375.999969482;368.28326416
0.028875119988;0.0032695158496;375.999969482;391.79019165
0.0315806955667;0.00354016353548;375.999969482;415.179992676
