filename;Time / s;Input_power;Output_power;Losses;Efficency;Caps_losses;FL1_losses;HF1_losses;FL2_losses;HF2_losses;Bulkcap_losses;Inductor;EMI;GaN_total;GaN_switching;GaN_ohmic_total;GaN_ohmich_ON;GaN_Forward_conduction;GaN_Reverse_ON_conduction;GaN_Reverse_OFF_conduction;Si_total;Si_conduction;Si_switching;iTHD_percentage
2550;1,300000e+00;2,556788e+03;2,550305e+03;2,214812e+01;9,913375e+01;1,455783e+00;3,157466e-01;1,218692e-02;3,128208e-01;1,185661e-02;8,031716e-01;2,796526e+00;4,301100e-01;1,510898e+01;1,319673e+01;1,912252e+00;1,686943e+00;5,280215e-01;1,158921e+00;2,253092e-01;2,356725e+00;2,354224e+00;2,501509e-03;6,506722e+00
2600;1,300000e+00;2,606960e+03;2,600323e+03;2,268330e+01;9,912989e+01;1,480242e+00;3,278250e-01;1,226185e-02;3,248930e-01;1,197281e-02;8,032890e-01;2,837742e+00;4,422024e-01;1,539534e+01;1,334848e+01;2,046863e+00;1,816939e+00;5,685973e-01;1,248342e+00;2,299237e-01;2,527774e+00;2,525335e+00;2,439617e-03;6,384582e+00
2650;1,300000e+00;2,657135e+03;2,650342e+03;2,308090e+01;9,913136e+01;1,504109e+00;3,401551e-01;1,189462e-02;3,371542e-01;1,149573e-02;8,034088e-01;2,879719e+00;4,548553e-01;1,562395e+01;1,350202e+01;2,121930e+00;1,887000e+00;5,904140e-01;1,296586e+00;2,349298e-01;2,618270e+00;2,615828e+00;2,441581e-03;6,288488e+00
2700;1,300000e+00;2,707315e+03;2,700362e+03;2,348786e+01;9,913243e+01;1,527675e+00;3,526239e-01;1,074242e-02;3,496386e-01;1,113945e-02;8,035307e-01;2,922493e+00;4,678578e-01;1,585919e+01;1,366082e+01;2,198372e+00;1,958413e+00;6,126736e-01;1,345739e+00;2,399590e-01;2,710643e+00;2,708243e+00;2,399563e-03;6,234992e+00
2750;1,300000e+00;2,757497e+03;2,750382e+03;2,389374e+01;9,913350e+01;1,552692e+00;3,653600e-01;1,013549e-02;3,623932e-01;1,114807e-02;8,036548e-01;2,966476e+00;4,808084e-01;1,608890e+01;1,381271e+01;2,276188e+00;2,031177e+00;6,353674e-01;1,395810e+00;2,450105e-01;2,804862e+00;2,802465e+00;2,397238e-03;6,144377e+00
2800;1,300000e+00;2,807684e+03;2,800403e+03;2,430425e+01;9,913437e+01;1,576661e+00;3,782755e-01;8,455478e-03;3,753656e-01;1,078247e-02;8,037813e-01;3,011580e+00;4,938403e-01;1,632171e+01;1,396630e+01;2,355406e+00;2,105321e+00;6,585040e-01;1,446817e+00;2,500848e-01;2,900455e+00;2,898074e+00;2,381228e-03;6,014861e+00
2850;1,300000e+00;2,857874e+03;2,850425e+03;2,472238e+01;9,913494e+01;1,600774e+00;3,915056e-01;7,679859e-03;3,884717e-01;9,206805e-03;8,039101e-01;3,057741e+00;5,072000e-01;1,655893e+01;1,412294e+01;2,435988e+00;2,180806e+00;6,820664e-01;1,498739e+00;2,551820e-01;2,997733e+00;2,995190e+00;2,542845e-03;5,907754e+00
2900;1,300000e+00;2,908068e+03;2,900448e+03;2,514167e+01;9,913545e+01;1,626427e+00;4,050823e-01;8,451402e-03;4,018187e-01;7,032969e-03;8,040411e-01;3,106874e+00;5,208014e-01;1,679106e+01;1,427312e+01;2,517939e+00;2,257631e+00;7,060464e-01;1,551584e+00;2,603082e-01;3,096507e+00;3,094200e+00;2,307296e-03;5,809966e+00
2950;1,300000e+00;2,958265e+03;2,950472e+03;2,556890e+01;9,913568e+01;1,653556e+00;4,188765e-01;9,667044e-03;4,154454e-01;5,392076e-03;8,041745e-01;3,155179e+00;5,345501e-01;1,702786e+01;1,442659e+01;2,601269e+00;2,335825e+00;7,304670e-01;1,605358e+00;2,654446e-01;3,197750e+00;3,195457e+00;2,293268e-03;5,694190e+00
3000;1,300000e+00;3,008466e+03;3,000496e+03;2,617686e+01;9,912989e+01;1,679012e+00;4,330391e-01;1,242119e-02;4,292413e-01;0,000000e+00;8,043099e-01;3,204459e+00;5,481899e-01;1,734023e+01;1,457992e+01;2,760311e+00;2,489894e+00;7,786262e-01;1,711268e+00;2,704170e-01;3,404965e+00;3,402688e+00;2,277138e-03;5,544208e+00
3050;1,300000e+00;3,058671e+03;3,050521e+03;2,662433e+01;9,912955e+01;1,710708e+00;4,471502e-01;1,190676e-02;4,434794e-01;3,723022e-03;8,044477e-01;3,254815e+00;5,627757e-01;1,758376e+01;1,473478e+01;2,848980e+00;2,573361e+00;8,047008e-01;1,768660e+00;2,756193e-01;3,512273e+00;3,510027e+00;2,245762e-03;5,471582e+00
3100;1,300000e+00;3,108880e+03;3,100547e+03;2,707811e+01;9,912901e+01;1,743688e+00;4,616597e-01;1,305867e-02;4,579830e-01;6,397983e-03;8,045879e-01;3,306255e+00;5,774502e-01;1,782905e+01;1,488996e+01;2,939087e+00;2,658243e+00;8,312314e-01;1,827012e+00;2,808436e-01;3,621671e+00;3,619444e+00;2,227548e-03;5,380679e+00
3150;1,300000e+00;3,159092e+03;3,150574e+03;2,753557e+01;9,912837e+01;1,776936e+00;4,764046e-01;1,409157e-02;4,727629e-01;8,946475e-03;8,047302e-01;3,358580e+00;5,924739e-01;1,807438e+01;1,504377e+01;3,030610e+00;2,744520e+00;8,582071e-01;1,886313e+00;2,860897e-01;3,733201e+00;3,730993e+00;2,207873e-03;5,301160e+00
3200;1,300000e+00;3,209308e+03;3,200601e+03;2,799621e+01;9,912766e+01;1,809478e+00;4,913323e-01;1,441629e-02;4,877762e-01;1,107812e-02;8,048747e-01;3,411746e+00;6,076832e-01;1,832074e+01;1,519717e+01;3,123570e+00;2,832213e+00;8,856354e-01;1,946578e+00;2,913569e-01;3,846567e+00;3,844379e+00;2,187333e-03;5,218722e+00
3250;1,300000e+00;3,259529e+03;3,250630e+03;2,845972e+01;9,912688e+01;1,840729e+00;5,064428e-01;1,444455e-02;5,029409e-01;1,187919e-02;8,050215e-01;3,465909e+00;6,231413e-01;1,856821e+01;1,535026e+01;3,217956e+00;2,921312e+00;9,135035e-01;2,007808e+00;2,966447e-01;3,961728e+00;3,959590e+00;2,137941e-03;5,139345e+00
3300;1,300000e+00;3,309752e+03;3,300659e+03;2,892398e+01;9,912610e+01;1,868903e+00;5,217163e-01;1,315571e-02;5,182031e-01;1,065706e-02;8,051706e-01;3,520725e+00;6,387791e-01;1,881678e+01;1,550302e+01;3,313763e+00;3,011810e+00;9,418143e-01;2,069996e+00;3,019534e-01;4,078791e+00;4,076628e+00;2,162987e-03;5,059198e+00
3350;1,300000e+00;3,359980e+03;3,350689e+03;2,939638e+01;9,912510e+01;1,901715e+00;5,373016e-01;1,334724e-02;5,338544e-01;1,189001e-02;8,053219e-01;3,576842e+00;6,546177e-01;1,906577e+01;1,565477e+01;3,411009e+00;3,103727e+00;9,705832e-01;2,133143e+00;3,072825e-01;4,197434e+00;4,195204e+00;2,229875e-03;4,973717e+00
3400;1,300000e+00;3,410211e+03;3,400721e+03;2,987469e+01;9,912396e+01;1,934706e+00;5,531561e-01;1,374900e-02;5,497126e-01;1,261255e-02;8,054755e-01;3,633889e+00;6,707713e-01;1,931779e+01;1,580812e+01;3,509673e+00;3,197041e+00;9,997921e-01;2,197249e+00;3,126321e-01;4,317535e+00;4,315285e+00;2,250162e-03;4,889880e+00
