filename;Input_power;Output_power;Losses;Efficency;Caps_losses;FL1_losses;HF1_losses;FL2_losses;HF2_losses;Bulkcap_losses;Inductor;EMI;GaN_total;GaN_switching;GaN_ohmic_total;GaN_ohmich_ON;GaN_Forward_conduction;GaN_Reverse_ON_conduction;GaN_Reverse_OFF_conduction;Si_total;Si_conduction;Si_switching;iTHD_percentage
4450;4487,352;4451,684;66,35142;98,52137;26,86595;0,9599165;0,05107209;0,9557501;0,04423219;24,85498;5,090238;1,076511;25,62305;19,10563;6,517427;6,084613;1,926466;4,158147;0,4328136;7,695666;7,693989;0,001676652;3,858103
4500;4538,153;4501,741;67,49076;98,51281;27,44974;0,9816385;0,05225253;0,9774163;0,04513711;25,39329;5,169482;1,098686;25,92165;19,25951;6,662136;6,223437;1,970842;4,252595;0,438699;7,851206;7,849533;0,001672528;3,805387
4550;4588,964;4551,799;69,28314;98,49022;28,03972;1,003597;0,05338936;0,9993383;0,04610823;25,93728;5,24971;1,121127;26,57921;19,4179;7,161308;6,715889;2,127245;4,588645;0,4454187;8,293384;8,291731;0,001652923;3,757759
4600;4639,785;4601,859;70,45614;98,48148;28,63757;1,02581;0,05458656;1,021525;0,04726298;26,48839;5,330983;1,143773;26,89022;19,57282;7,3174;6,866017;2,175261;4,690756;0,4513825;8,453589;8,451954;0,001635019;3,711586
4650;4690,615;4651,919;71,63967;98,4727;29,24165;1,048281;0,05583439;1,043905;0,04799908;27,04563;5,413162;1,166652;27,20335;19,72809;7,475262;7,017895;2,223874;4,794022;0,4573662;8,614853;8,613221;0,001631997;3,665952
4700;4741,456;4701,981;72,83197;98,46393;29,85126;1,070997;0,0570285;1,066455;0,04789297;27,60889;5,496196;1,189859;27,51775;19,88291;7,634834;7,171463;2,273033;4,89843;0,4633708;8,776909;8,775295;0,001613721;3,632978
4750;4792,306;4752,045;74,03692;98,45509;30,46926;1,093973;0,05825171;1,089367;0,04876601;28,1789;5,580418;1,213362;27,83415;20,03795;7,796194;7,326798;2,322764;5,004033;0,4693967;8,939734;8,938139;0,001595024;3,584967
4800;4843,165;4802,109;75,25265;98,44621;31,09413;1,117202;0,05952416;1,112582;0,05011582;28,7547;5,665631;1,237207;28,15221;20,1929;7,95931;7,483866;2,373067;5,110799;0,4754441;9,103475;9,101884;0,001591242;3,545228
4850;4894,034;4852,175;76,47672;98,43735;31,72325;1,140681;0,06076963;1,135965;0,05073748;29,3351;5,75175;1,261303;28,47247;20,34822;8,12425;7,642737;2,42398;5,218757;0,4815131;9,26794;9,266367;0,001573097;3,495396
4900;4944,914;4902,243;77,71564;98,42837;32,36298;1,164428;0,06213646;1,15976;0,05267136;29,92398;5,839008;1,285674;28,79501;20,50411;8,290902;7,803298;2,475433;5,327865;0,4876039;9,43297;9,4314;0,001569717;3,458923
4950;4995,802;4952,311;78,96986;98,41928;33,01378;1,188416;0,06340172;1,184481;0,05957375;30,51791;5,927793;1,31034;29,11922;20,65987;8,459348;7,965631;2,527481;5,438151;0,4937162;9,598719;9,597162;0,001557238;3,415998
5000;5046,701;5002,382;80,22834;98,41028;33,66595;1,212662;0,0647175;1,208981;0,06297129;31,11662;6,017162;1,335221;29,44496;20,81544;8,629513;8,129662;2,580078;5,549584;0,4998506;9,765055;9,763512;0,00154294;3,378326
5050;5097,61;5052,453;81,93527;98,39267;34,32564;1,237163;0,06603593;1,233744;0,06623977;31,72246;6,107461;1,360239;30,03767;20,97455;9,063113;8,556431;2,716119;5,840312;0,5066817;10,10426;10,10272;0,00154846;3,326402
